[08-14 00:00:53] New Score: -77, Best Score: -77, Average Score: -77.0
[08-14 00:00:57] New Score: -86, Best Score: -77, Average Score: -81.5
[08-14 00:01:00] New Score: -87, Best Score: -77, Average Score: -83.33333333333333
[08-14 00:01:03] New Score: -87, Best Score: -77, Average Score: -84.25
[08-14 00:01:05] New Score: -88, Best Score: -77, Average Score: -85.0
[08-14 00:01:10] New Score: -68, Best Score: -68, Average Score: -82.16666666666667
[08-14 00:01:16] New Score: 56, Best Score: 56, Average Score: -62.42857142857143
[08-14 00:01:21] New Score: -6, Best Score: 56, Average Score: -55.375
[08-14 00:01:26] New Score: -8, Best Score: 56, Average Score: -50.111111111111114
[08-14 00:01:30] New Score: -23, Best Score: 56, Average Score: -47.4
[08-14 00:01:34] New Score: -12, Best Score: 56, Average Score: -44.18181818181818
[08-14 00:01:38] New Score: -22, Best Score: 56, Average Score: -42.333333333333336
[08-14 00:01:43] New Score: -41, Best Score: 56, Average Score: -42.23076923076923
[08-14 00:01:46] New Score: -23, Best Score: 56, Average Score: -40.857142857142854
[08-14 00:01:51] New Score: -11, Best Score: 56, Average Score: -38.86666666666667
[08-14 00:01:55] New Score: -11, Best Score: 56, Average Score: -37.125
[08-14 00:02:01] New Score: 108, Best Score: 108, Average Score: -28.58823529411765
[08-14 00:02:06] New Score: 101, Best Score: 108, Average Score: -21.38888888888889
[08-14 00:02:10] New Score: 99, Best Score: 108, Average Score: -15.052631578947368
[08-14 00:02:15] New Score: 100, Best Score: 108, Average Score: -9.3
[08-14 00:02:19] New Score: 98, Best Score: 108, Average Score: -4.190476190476191
[08-14 00:02:24] New Score: 110, Best Score: 110, Average Score: 1.0
[08-14 00:02:29] New Score: 113, Best Score: 113, Average Score: 5.869565217391305
[08-14 00:02:34] New Score: 122, Best Score: 122, Average Score: 10.708333333333334
[08-14 00:02:38] New Score: 98, Best Score: 122, Average Score: 14.2
[08-14 00:02:42] New Score: 99, Best Score: 122, Average Score: 17.46153846153846
[08-14 00:02:46] New Score: 98, Best Score: 122, Average Score: 20.444444444444443
[08-14 00:02:51] New Score: 112, Best Score: 122, Average Score: 23.714285714285715
[08-14 00:02:56] New Score: 100, Best Score: 122, Average Score: 26.344827586206897
[08-14 00:03:00] New Score: 112, Best Score: 122, Average Score: 29.2
[08-14 00:03:05] New Score: 110, Best Score: 122, Average Score: 31.806451612903224
[08-14 00:03:09] New Score: 99, Best Score: 122, Average Score: 33.90625
[08-14 00:03:14] New Score: 82, Best Score: 122, Average Score: 35.36363636363637
[08-14 00:03:19] New Score: 112, Best Score: 122, Average Score: 37.61764705882353
[08-14 00:03:24] New Score: 99, Best Score: 122, Average Score: 39.371428571428574
[08-14 00:03:28] New Score: 99, Best Score: 122, Average Score: 41.02777777777778
[08-14 00:03:34] New Score: 135, Best Score: 135, Average Score: 43.567567567567565
[08-14 00:03:39] New Score: 122, Best Score: 135, Average Score: 45.63157894736842
[08-14 00:03:44] New Score: 123, Best Score: 135, Average Score: 47.61538461538461
[08-14 00:03:48] New Score: 98, Best Score: 135, Average Score: 48.875
[08-14 00:03:52] New Score: 99, Best Score: 135, Average Score: 50.09756097560975
[08-14 00:03:57] New Score: 123, Best Score: 135, Average Score: 51.833333333333336
[08-14 00:04:02] New Score: 122, Best Score: 135, Average Score: 53.46511627906977
[08-14 00:04:07] New Score: 112, Best Score: 135, Average Score: 54.79545454545455
[08-14 00:04:12] New Score: 111, Best Score: 135, Average Score: 56.044444444444444
[08-14 00:04:17] New Score: 114, Best Score: 135, Average Score: 57.30434782608695
[08-14 00:04:21] New Score: 98, Best Score: 135, Average Score: 58.170212765957444
[08-14 00:04:26] New Score: 123, Best Score: 135, Average Score: 59.520833333333336
[08-14 00:04:31] New Score: 99, Best Score: 135, Average Score: 60.326530612244895
[08-14 00:04:35] New Score: 100, Best Score: 135, Average Score: 61.12
[08-14 00:04:41] New Score: 113, Best Score: 135, Average Score: 62.13725490196079
[08-14 00:04:45] New Score: 99, Best Score: 135, Average Score: 62.84615384615385
[08-14 00:04:50] New Score: 111, Best Score: 135, Average Score: 63.75471698113208
[08-14 00:04:54] New Score: 99, Best Score: 135, Average Score: 64.4074074074074
[08-14 00:04:59] New Score: 99, Best Score: 135, Average Score: 65.03636363636363
[08-14 00:05:04] New Score: 124, Best Score: 135, Average Score: 66.08928571428571
[08-14 00:05:08] New Score: 100, Best Score: 135, Average Score: 66.6842105263158
[08-14 00:05:14] New Score: 113, Best Score: 135, Average Score: 67.48275862068965
[08-14 00:05:19] New Score: 113, Best Score: 135, Average Score: 68.2542372881356
[08-14 00:05:24] New Score: 110, Best Score: 135, Average Score: 68.95
[08-14 00:05:29] New Score: 102, Best Score: 135, Average Score: 69.49180327868852
[08-14 00:05:34] New Score: 99, Best Score: 135, Average Score: 69.96774193548387
[08-14 00:05:38] New Score: 110, Best Score: 135, Average Score: 70.60317460317461
[08-14 00:05:43] New Score: 99, Best Score: 135, Average Score: 71.046875
[08-14 00:05:48] New Score: 99, Best Score: 135, Average Score: 71.47692307692307
[08-14 00:05:53] New Score: 111, Best Score: 135, Average Score: 72.07575757575758
[08-14 00:05:58] New Score: 123, Best Score: 135, Average Score: 72.83582089552239
[08-14 00:06:03] New Score: 134, Best Score: 135, Average Score: 73.73529411764706
[08-14 00:06:08] New Score: 111, Best Score: 135, Average Score: 74.27536231884058
[08-14 00:06:13] New Score: 110, Best Score: 135, Average Score: 74.78571428571429
[08-14 00:06:18] New Score: 112, Best Score: 135, Average Score: 75.30985915492958
[08-14 00:06:23] New Score: 123, Best Score: 135, Average Score: 75.97222222222223
[08-14 00:06:27] New Score: 99, Best Score: 135, Average Score: 76.28767123287672
[08-14 00:06:32] New Score: 101, Best Score: 135, Average Score: 76.62162162162163
[08-14 00:06:37] New Score: 110, Best Score: 135, Average Score: 77.06666666666666
[08-14 00:06:41] New Score: 111, Best Score: 135, Average Score: 77.51315789473684
[08-14 00:06:46] New Score: 98, Best Score: 135, Average Score: 77.77922077922078
[08-14 00:06:52] New Score: 135, Best Score: 135, Average Score: 78.51282051282051
[08-14 00:06:56] New Score: 100, Best Score: 135, Average Score: 78.78481012658227
[08-14 00:07:02] New Score: 113, Best Score: 135, Average Score: 79.2125
[08-14 00:07:07] New Score: 122, Best Score: 135, Average Score: 79.74074074074075
[08-14 00:07:12] New Score: 134, Best Score: 135, Average Score: 80.40243902439025
[08-14 00:07:17] New Score: 98, Best Score: 135, Average Score: 80.6144578313253
[08-14 00:07:22] New Score: 100, Best Score: 135, Average Score: 80.8452380952381
[08-14 00:07:26] New Score: 98, Best Score: 135, Average Score: 81.04705882352941
[08-14 00:07:32] New Score: 123, Best Score: 135, Average Score: 81.53488372093024
[08-14 00:07:37] New Score: 100, Best Score: 135, Average Score: 81.74712643678161
[08-14 00:07:41] New Score: 99, Best Score: 135, Average Score: 81.94318181818181
[08-14 00:07:47] New Score: 135, Best Score: 135, Average Score: 82.53932584269663
[08-14 00:07:52] New Score: 123, Best Score: 135, Average Score: 82.9888888888889
[08-14 00:07:58] New Score: 112, Best Score: 135, Average Score: 83.3076923076923
[08-14 00:08:02] New Score: 99, Best Score: 135, Average Score: 83.47826086956522
[08-14 00:08:07] New Score: 100, Best Score: 135, Average Score: 83.65591397849462
[08-14 00:08:11] New Score: 99, Best Score: 135, Average Score: 83.81914893617021
[08-14 00:08:16] New Score: 122, Best Score: 135, Average Score: 84.22105263157894
[08-14 00:08:23] New Score: 148, Best Score: 148, Average Score: 84.88541666666667
[08-14 00:08:27] New Score: 99, Best Score: 148, Average Score: 85.03092783505154
[08-14 00:08:32] New Score: 99, Best Score: 148, Average Score: 85.1734693877551
[08-14 00:08:36] New Score: 100, Best Score: 148, Average Score: 85.32323232323232
[08-14 00:08:42] New Score: 134, Best Score: 148, Average Score: 85.81
[08-14 00:08:47] New Score: 110, Best Score: 148, Average Score: 86.04950495049505
[08-14 00:08:51] New Score: 98, Best Score: 148, Average Score: 86.16666666666667
[08-14 00:08:56] New Score: 101, Best Score: 148, Average Score: 86.31067961165049
[08-14 00:09:01] New Score: 112, Best Score: 148, Average Score: 86.5576923076923
[08-14 00:09:05] New Score: 98, Best Score: 148, Average Score: 86.66666666666667
[08-14 00:09:09] New Score: 98, Best Score: 148, Average Score: 86.77358490566037
[08-14 00:09:14] New Score: 110, Best Score: 148, Average Score: 86.99065420560747
