[08-12 17:18:02] New Score: -31, Best Score: -31, Average Score: -31.0
[08-12 17:18:06] New Score: -33, Best Score: -31, Average Score: -32.0
[08-12 17:18:10] New Score: -31, Best Score: -31, Average Score: -31.666666666666668
[08-12 17:18:14] New Score: -33, Best Score: -31, Average Score: -32.0
[08-12 17:18:17] New Score: -11, Best Score: -11, Average Score: -27.8
[08-12 17:18:21] New Score: 9, Best Score: 9, Average Score: -21.666666666666668
[08-12 17:18:36] New Score: 431, Best Score: 431, Average Score: 43.0
[08-12 17:18:39] New Score: -76, Best Score: 431, Average Score: 28.125
[08-12 17:18:43] New Score: -73, Best Score: 431, Average Score: 16.88888888888889
[08-12 17:18:45] New Score: -88, Best Score: 431, Average Score: 6.4
[08-12 17:18:49] New Score: -62, Best Score: 431, Average Score: 0.18181818181818182
[08-12 17:18:52] New Score: -87, Best Score: 431, Average Score: -7.083333333333333
[08-12 17:18:55] New Score: -87, Best Score: 431, Average Score: -13.23076923076923
[08-12 17:18:58] New Score: -74, Best Score: 431, Average Score: -17.571428571428573
[08-12 17:19:01] New Score: -87, Best Score: 431, Average Score: -22.2
[08-12 17:19:05] New Score: -68, Best Score: 431, Average Score: -25.0625
[08-12 17:19:15] New Score: 144, Best Score: 431, Average Score: -15.117647058823529
[08-12 17:19:18] New Score: -83, Best Score: 431, Average Score: -18.88888888888889
[08-12 17:19:23] New Score: -48, Best Score: 431, Average Score: -20.42105263157895
[08-12 17:19:29] New Score: 60, Best Score: 431, Average Score: -16.4
[08-12 17:19:35] New Score: -32, Best Score: 431, Average Score: -17.142857142857142
[08-12 17:19:39] New Score: 42, Best Score: 431, Average Score: -14.454545454545455
[08-12 17:19:45] New Score: 115, Best Score: 431, Average Score: -8.826086956521738
[08-12 17:19:49] New Score: -70, Best Score: 431, Average Score: -11.375
[08-12 17:19:52] New Score: -77, Best Score: 431, Average Score: -14.0
[08-12 17:20:00] New Score: 172, Best Score: 431, Average Score: -6.846153846153846
[08-12 17:20:04] New Score: -83, Best Score: 431, Average Score: -9.666666666666666
[08-12 17:20:07] New Score: -85, Best Score: 431, Average Score: -12.357142857142858
[08-12 17:20:13] New Score: -10, Best Score: 431, Average Score: -12.275862068965518
[08-12 17:20:18] New Score: -58, Best Score: 431, Average Score: -13.8
[08-12 17:20:23] New Score: -76, Best Score: 431, Average Score: -15.806451612903226
[08-12 17:20:27] New Score: -61, Best Score: 431, Average Score: -17.21875
[08-12 17:20:31] New Score: -70, Best Score: 431, Average Score: -18.818181818181817
[08-12 17:20:36] New Score: -46, Best Score: 431, Average Score: -19.61764705882353
[08-12 17:20:41] New Score: -77, Best Score: 431, Average Score: -21.257142857142856
[08-12 17:20:45] New Score: -74, Best Score: 431, Average Score: -22.72222222222222
[08-12 17:20:53] New Score: 181, Best Score: 431, Average Score: -17.216216216216218
[08-12 17:20:57] New Score: -39, Best Score: 431, Average Score: -17.789473684210527
[08-12 17:21:02] New Score: -77, Best Score: 431, Average Score: -19.307692307692307
[08-12 17:21:06] New Score: -61, Best Score: 431, Average Score: -20.35
[08-12 17:21:11] New Score: 102, Best Score: 431, Average Score: -17.365853658536587
[08-12 17:21:17] New Score: 51, Best Score: 431, Average Score: -15.738095238095237
[08-12 17:21:23] New Score: 49, Best Score: 431, Average Score: -14.232558139534884
[08-12 17:21:27] New Score: 100, Best Score: 431, Average Score: -11.636363636363637
[08-12 17:21:31] New Score: 99, Best Score: 431, Average Score: -9.177777777777777
[08-12 17:21:36] New Score: 113, Best Score: 431, Average Score: -6.521739130434782
[08-12 17:21:40] New Score: 98, Best Score: 431, Average Score: -4.297872340425532
[08-12 17:21:45] New Score: 111, Best Score: 431, Average Score: -1.8958333333333333
[08-12 17:21:49] New Score: 98, Best Score: 431, Average Score: 0.14285714285714285
[08-12 17:21:53] New Score: 99, Best Score: 431, Average Score: 2.12
[08-12 17:21:57] New Score: 110, Best Score: 431, Average Score: 4.235294117647059
[08-12 17:22:01] New Score: 100, Best Score: 431, Average Score: 6.076923076923077
[08-12 17:22:05] New Score: 99, Best Score: 431, Average Score: 7.830188679245283
[08-12 17:22:09] New Score: 100, Best Score: 431, Average Score: 9.537037037037036
[08-12 17:22:14] New Score: 102, Best Score: 431, Average Score: 11.218181818181819
[08-12 17:22:18] New Score: 112, Best Score: 431, Average Score: 13.017857142857142
